latitude,longitude,date,sea_surface_temp_c,surface_par,day_length_hours,season,hemisphere,distance_from_coast_km,euphotic_zone_depth_m,sampling_depth_m,primary_prod_integrated_mg_c_m2_day,satellite_chlorophyll,satellite_sst,gcomc_chlorophyll
16.0,73.333,1987-01-27,13.86,14.51,11.23042249,Winter,northern,14.9293,53.53500181,5.0,473.8,1.8080586194992063,27.982646942138672,
16.0,73.333,1987-01-27,13.86,14.51,11.23042249,Winter,northern,14.9293,53.53500181,15.0,473.8,1.8080586194992063,27.982646942138672,
17.0,73.133,1987-01-27,13.86,14.51,11.18128527,Winter,northern,13.3944,53.03068973,25.0,390.75,2.188265323638916,27.545000076293945,
17.0,73.133,1987-01-27,13.86,14.51,11.18128527,Winter,northern,13.3944,53.03068973,0.0,390.75,2.188265323638916,27.545000076293945,
16.0,73.333,1987-01-27,13.86,14.51,11.23042249,Winter,northern,14.9293,53.53500181,25.0,473.8,1.8080586194992063,27.982646942138672,
16.0,73.0,1987-01-26,13.86,14.51,11.21970781,Winter,northern,51.7006,56.39767655,15.0,239.85,0.3552090525627136,28.13749885559082,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,60.0,352.735,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,20.0,352.735,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,40.0,352.735,0.5530548095703125,15.466249465942385,
16.0,73.0,1987-01-26,13.86,14.51,11.21970781,Winter,northern,51.7006,56.39767655,5.0,239.85,0.3552090525627136,28.13749885559082,
16.0,73.0,1987-01-26,13.86,14.51,11.21970781,Winter,northern,51.7006,56.39767655,10.0,239.85,0.3552090525627136,28.13749885559082,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,2.0,352.735,0.5530548095703125,15.466249465942385,
16.0,73.0,1987-01-26,13.86,14.51,11.21970781,Winter,northern,51.7006,56.39767655,25.0,239.85,0.3552090525627136,28.13749885559082,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,10.0,352.735,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,5.0,352.735,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-26,13.86,14.51,14.26230045,Winter,northern,2.91784,28.50572674,0.0,352.735,0.5530548095703125,15.466249465942385,
16.0,73.0,1987-01-26,13.86,14.51,11.21970781,Winter,northern,51.7006,56.39767655,0.0,239.85,0.3552090525627136,28.13749885559082,
16.0,70.0,1987-01-25,13.86,14.51,11.20920956,Winter,northern,361.541,61.78357564,75.0,470.275,0.2254441529512405,27.29884529113769,
16.0,70.0,1987-01-25,13.86,14.51,11.20920956,Winter,northern,361.541,61.78357564,0.0,470.275,0.2254441529512405,27.29884529113769,
16.0,70.0,1987-01-25,13.86,14.51,11.20920956,Winter,northern,361.541,61.78357564,10.0,470.275,0.2254441529512405,27.29884529113769,
16.0,70.0,1987-01-25,13.86,14.51,11.20920956,Winter,northern,361.541,61.78357564,25.0,470.275,0.2254441529512405,27.29884529113769,
16.0,70.0,1987-01-25,13.86,14.51,11.20920956,Winter,northern,361.541,61.78357564,50.0,470.275,0.2254441529512405,27.29884529113769,
16.0,67.0,1987-01-24,13.86,14.51,11.19893398,Winter,northern,651.443,57.05172562,50.0,424.35,0.4279810190200805,26.40641593933105,
16.0,67.0,1987-01-24,13.86,14.51,11.19893398,Winter,northern,651.443,57.05172562,25.0,424.35,0.4279810190200805,26.40641593933105,
16.0,67.0,1987-01-24,13.86,14.51,11.19893398,Winter,northern,651.443,57.05172562,10.0,424.35,0.4279810190200805,26.40641593933105,
16.0,67.0,1987-01-24,13.86,14.51,11.19893398,Winter,northern,651.443,57.05172562,0.0,424.35,0.4279810190200805,26.40641593933105,
16.0,67.0,1987-01-24,13.86,14.51,11.19893398,Winter,northern,651.443,57.05172562,75.0,424.35,0.4279810190200805,26.40641593933105,
16.0,65.0,1987-01-23,13.86,14.51,11.18888727,Winter,northern,783.283,57.73848262,10.0,924.375,0.4273143112659454,26.085498809814453,
16.0,65.0,1987-01-23,13.86,14.51,11.18888727,Winter,northern,783.283,57.73848262,50.0,924.375,0.4273143112659454,26.085498809814453,
16.0,65.0,1987-01-23,13.86,14.51,11.18888727,Winter,northern,783.283,57.73848262,75.0,924.375,0.4273143112659454,26.085498809814453,
16.0,65.0,1987-01-23,13.86,14.51,11.18888727,Winter,northern,783.283,57.73848262,0.0,924.375,0.4273143112659454,26.085498809814453,
16.0,65.0,1987-01-23,13.86,14.51,11.18888727,Winter,northern,783.283,57.73848262,25.0,924.375,0.4273143112659454,26.085498809814453,
15.0,65.0,1987-01-23,13.86,14.51,11.24025196,Winter,northern,865.096,64.87815913,75.0,635.825,0.4353422522544861,26.19954490661621,
15.0,65.0,1987-01-23,13.86,14.51,11.24025196,Winter,northern,865.096,64.87815913,50.0,635.825,0.4353422522544861,26.19954490661621,
15.0,65.0,1987-01-23,13.86,14.51,11.24025196,Winter,northern,865.096,64.87815913,25.0,635.825,0.4353422522544861,26.19954490661621,
15.0,65.0,1987-01-23,13.86,14.51,11.24025196,Winter,northern,865.096,64.87815913,10.0,635.825,0.4353422522544861,26.19954490661621,
15.0,65.0,1987-01-23,13.86,14.51,11.24025196,Winter,northern,865.096,64.87815913,0.0,635.825,0.4353422522544861,26.19954490661621,
15.0,68.0,1987-01-22,13.86,14.51,11.2310897,Winter,northern,588.909,75.84188446,50.0,336.225,0.3572145402431488,27.04874992370605,
15.0,68.0,1987-01-22,13.86,14.51,11.2310897,Winter,northern,588.909,75.84188446,0.0,336.225,0.3572145402431488,27.04874992370605,
15.0,68.0,1987-01-22,13.86,14.51,11.2310897,Winter,northern,588.909,75.84188446,25.0,336.225,0.3572145402431488,27.04874992370605,
15.0,68.0,1987-01-22,13.86,14.51,11.2310897,Winter,northern,588.909,75.84188446,75.0,336.225,0.3572145402431488,27.04874992370605,
15.0,68.0,1987-01-22,13.86,14.51,11.2310897,Winter,northern,588.909,75.84188446,10.0,336.225,0.3572145402431488,27.04874992370605,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,0.0,95.05,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,10.0,95.05,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,20.0,95.05,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,40.0,95.05,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,60.0,95.05,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,5.0,95.05,0.5530548095703125,15.466249465942385,
15.0,70.0,1987-01-21,13.86,14.51,11.22215286,Winter,northern,391.488,97.38099921,0.0,297.775,0.1837863475084304,27.57937431335449,
40.8,14.23,1987-01-21,13.86,14.51,9.522892955,Winter,northern,2.91784,52.07831911,2.0,95.05,0.5530548095703125,15.466249465942385,
15.0,70.0,1987-01-21,13.86,14.51,11.22215286,Winter,northern,391.488,97.38099921,75.0,297.775,0.1837863475084304,27.57937431335449,
15.0,70.0,1987-01-21,13.86,14.51,11.22215286,Winter,northern,391.488,97.38099921,50.0,297.775,0.1837863475084304,27.57937431335449,
15.0,70.0,1987-01-21,13.86,14.51,11.22215286,Winter,northern,391.488,97.38099921,25.0,297.775,0.1837863475084304,27.57937431335449,
15.0,70.0,1987-01-21,13.86,14.51,11.22215286,Winter,northern,391.488,97.38099921,10.0,297.775,0.1837863475084304,27.57937431335449,
15.0,72.0,1987-01-20,13.86,14.51,11.21344716,Winter,northern,195.574,75.84188446,5.0,171.625,0.1809208542108535,27.925312042236328,
15.0,72.0,1987-01-20,13.86,14.51,11.21344716,Winter,northern,195.574,75.84188446,40.0,171.625,0.1809208542108535,27.925312042236328,
15.0,72.0,1987-01-20,13.86,14.51,11.21344716,Winter,northern,195.574,75.84188446,25.0,171.625,0.1809208542108535,27.925312042236328,
15.0,72.0,1987-01-20,13.86,14.51,11.21344716,Winter,northern,195.574,75.84188446,0.0,171.625,0.1809208542108535,27.925312042236328,
15.0,72.0,1987-01-20,13.86,14.51,11.21344716,Winter,northern,195.574,75.84188446,10.0,171.625,0.1809208542108535,27.925312042236328,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,0.0,401.19,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,2.0,401.19,0.5530548095703125,15.466249465942385,
33.5,-118.3,1987-01-12,15.86,23.13,9.930951154,Winter,northern,11.9242,59.22249393,2.0,277.2,0.3488006591796875,16.114999771118164,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,20.0,401.19,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,60.0,401.19,0.5530548095703125,15.466249465942385,
33.5,-118.3,1987-01-12,16.11,23.13,9.930951154,Winter,northern,11.9242,59.22249393,8.0,277.2,0.3488006591796875,16.114999771118164,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,10.0,401.19,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,5.0,401.19,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-12,13.86,14.51,14.63689437,Winter,northern,2.91784,20.28051603,40.0,401.19,0.5530548095703125,15.466249465942385,
33.5,-118.3,1987-01-12,16.11,23.13,9.930951154,Winter,northern,11.9242,59.22249393,4.0,277.2,0.3488006591796875,16.114999771118164,
33.5,-118.3,1987-01-12,16.11,23.13,9.930951154,Winter,northern,11.9242,59.22249393,43.0,277.2,0.3488006591796875,16.114999771118164,
33.5,-118.3,1987-01-12,16.11,23.13,9.930951154,Winter,northern,11.9242,59.22249393,32.0,277.2,0.3488006591796875,16.114999771118164,
33.5,-118.3,1987-01-12,16.11,23.13,9.930951154,Winter,northern,11.9242,59.22249393,21.0,277.2,0.3488006591796875,16.114999771118164,
33.5,-118.3,1987-01-12,16.11,23.13,9.930951154,Winter,northern,11.9242,59.22249393,11.0,277.2,0.3488006591796875,16.114999771118164,
33.6,-118.3,1987-01-11,15.86,22.95,9.906701242,Winter,northern,9.48319,32.51957644,6.0,719.8,0.6055832505226135,15.85349941253662,
33.6,-118.3,1987-01-11,15.86,22.95,9.906701242,Winter,northern,9.48319,32.51957644,15.0,719.8,0.6055832505226135,15.85349941253662,
33.6,-118.3,1987-01-11,15.86,22.95,9.906701242,Winter,northern,9.48319,32.51957644,11.0,719.8,0.6055832505226135,15.85349941253662,
33.6,-118.3,1987-01-11,15.86,22.95,9.906701242,Winter,northern,9.48319,32.51957644,1.0,719.8,0.6055832505226135,15.85349941253662,
33.5,-118.4,1987-01-10,15.29,23.09,9.899164794,Winter,northern,7.35292,63.77549486,64.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.4,1987-01-10,15.18,23.09,9.899164794,Winter,northern,7.35292,63.77549486,23.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.4,1987-01-10,15.18,23.09,9.899164794,Winter,northern,7.35292,63.77549486,39.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.4,1987-01-10,15.18,23.09,9.899164794,Winter,northern,7.35292,63.77549486,28.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.4,1987-01-10,15.29,23.09,9.899164794,Winter,northern,7.35292,63.77549486,51.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.4,1987-01-10,16.11,23.09,9.899164794,Winter,northern,7.35292,63.77549486,0.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.4,1987-01-10,15.18,23.09,9.899164794,Winter,northern,7.35292,63.77549486,16.0,389.3,0.3598598539829254,16.104000091552734,
33.5,-118.5,1987-01-09,15.29,22.55,9.884357492,Winter,northern,4.27583,53.03068973,13.0,270.9,0.4669063687324524,16.09375,
33.5,-118.5,1987-01-09,15.29,22.55,9.884357492,Winter,northern,4.27583,53.03068973,4.0,270.9,0.4669063687324524,16.09375,
33.5,-118.5,1987-01-09,15.29,22.55,9.884357492,Winter,northern,4.27583,53.03068973,1.0,270.9,0.4669063687324524,16.09375,
33.5,-118.5,1987-01-09,15.42,22.55,9.884357492,Winter,northern,4.27583,53.03068973,37.0,270.9,0.4669063687324524,16.09375,
33.5,-118.5,1987-01-09,15.29,22.55,9.884357492,Winter,northern,4.27583,53.03068973,22.0,270.9,0.4669063687324524,16.09375,
33.5,-118.5,1987-01-09,15.29,22.55,9.884357492,Winter,northern,4.27583,53.03068973,7.0,270.9,0.4669063687324524,16.09375,
33.5,-118.5,1987-01-09,15.42,22.55,9.884357492,Winter,northern,4.27583,53.03068973,49.0,270.9,0.4669063687324524,16.09375,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,40.0,89.275,0.5530548095703125,15.466249465942385,
33.2,-118.1,1987-01-08,17.68,22.59,9.89470557,Winter,northern,21.4789,83.89923211,2.0,203.45,0.3816518485546112,16.09291648864746,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,0.0,89.275,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,2.0,89.275,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,5.0,89.275,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,10.0,89.275,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,20.0,89.275,0.5530548095703125,15.466249465942385,
40.8,14.23,1987-01-08,13.86,14.51,9.206043667,Winter,northern,2.91784,52.07831911,60.0,89.275,0.5530548095703125,15.466249465942385,
33.2,-118.1,1987-01-08,17.68,22.59,9.89470557,Winter,northern,21.4789,83.89923211,24.0,203.45,0.3816518485546112,16.09291648864746,
33.2,-118.1,1987-01-08,17.68,22.59,9.89470557,Winter,northern,21.4789,83.89923211,10.0,203.45,0.3816518485546112,16.09291648864746,
33.2,-118.1,1987-01-08,15.86,22.59,9.89470557,Winter,northern,21.4789,83.89923211,57.0,203.45,0.3816518485546112,16.09291648864746,
33.2,-118.1,1987-01-08,15.86,22.59,9.89470557,Winter,northern,21.4789,83.89923211,46.0,203.45,0.3816518485546112,16.09291648864746,
33.2,-118.1,1987-01-08,17.68,22.59,9.89470557,Winter,northern,21.4789,83.89923211,35.0,203.45,0.3816518485546112,16.09291648864746,
33.2,-118.1,1987-01-08,17.68,22.59,9.89470557,Winter,northern,21.4789,83.89923211,18.0,203.45,0.3816518485546112,16.09291648864746,
33.3,-117.5,1987-01-07,17.68,21.41,9.87338226,Winter,northern,1.62286,52.54554403,37.0,855.35,0.6169456243515015,15.81999969482422,
33.3,-117.5,1987-01-07,15.2,21.41,9.87338226,Winter,northern,1.62286,52.54554403,30.0,855.35,0.6169456243515015,15.81999969482422,
33.3,-117.5,1987-01-07,15.2,21.41,9.87338226,Winter,northern,1.62286,52.54554403,23.0,855.35,0.6169456243515015,15.81999969482422,
33.3,-117.5,1987-01-07,15.2,21.41,9.87338226,Winter,northern,1.62286,52.54554403,0.0,855.35,0.6169456243515015,15.81999969482422,
33.3,-117.5,1987-01-07,15.2,21.41,9.87338226,Winter,northern,1.62286,52.54554403,9.0,855.35,0.6169456243515015,15.81999969482422,
33.3,-117.5,1987-01-07,15.2,21.41,9.87338226,Winter,northern,1.62286,52.54554403,13.0,855.35,0.6169456243515015,15.81999969482422,
33.3,-117.5,1987-01-07,15.2,21.41,9.87338226,Winter,northern,1.62286,52.54554403,16.0,855.35,0.6169456243515015,15.81999969482422,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,60.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,40.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,20.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,10.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,5.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,0.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-12-29,13.86,14.51,14.85449738,Winter,northern,2.91784,20.46702303,2.0,547.7,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-01-28,13.86,14.51,9.748581519,Winter,northern,2.91784,41.44219497,5.0,209.27,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-01-28,13.86,14.51,9.748581519,Winter,northern,2.91784,41.44219497,2.0,209.27,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-01-28,13.86,14.51,9.748581519,Winter,northern,2.91784,41.44219497,60.0,209.27,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-01-28,13.86,14.51,9.748581519,Winter,northern,2.91784,41.44219497,0.0,209.27,0.5530548095703125,15.466249465942385,
40.8,14.23,1986-01-28,13.86,14.51,9.748581519,Winter,northern,2.91784,41.44219497,10.0,209.27,0.5530548095703125,15.466249465942385,
